"University","City","State","School","BusinessSchool","EngSchool","ScienceSchool","Degree","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"Saint Joseph’s University","Philadelphia","Pennsylvania","Business",1,0,0,"Business Intelligence and Analytics",1,0,2010,12,12,NA,24,30,33210,NA,33210,NA,NA,12,NA,NA,NA,NA,NA,NA,8,2,6,3,0,2.5
"Duquesne University","Pittsburgh","Pennsylvania","Business",1,0,0,"Analytics and Information Management",1,0,NA,36,12,NA,36,30,29730,29730,29730,NA,NA,NA,NA,NA,NA,50,NA,NA,3,1,4,4,NA,0.833333333333333
"Benedictine University","Lisle","Illinois","Business",1,0,0,"Business Analytics",1,0,2013,24,12,24,24,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,0,2.66666666666667
"Louisiana State University","Baton Rouge","Louisiana","Business",1,0,0,"Analytics",1,0,2011,12,12,12,12,36,17000,38300,27650,NA,NA,NA,NA,NA,NA,50,NA,NA,7,2,7,3,1,3
"University of Massachusetts at Lowell","Lowell","Massachusetts","Manning School of Business",1,0,0,"Business Analytics",1,0,2016,12,12,16,24,30,25266,44900,35083,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,507,2,0,2.5
"Boston University","Boston","Massachusetts","Metropolitan College",0,0,0,"Applied Business Analytics",1,0,2016,18,18,22,24,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,2,2,6,4,0,2.22222222222222
"Bellevue University","Bellevue","Nebraska","Business",1,0,0,"Business Analytics",1,0,2015,24,24,24,24,36,21060,21060,21060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1.5
"University at Albany","Albany","New York","Mathematics & Statistics",0,0,1,"Data Science",0,1,2018,NA,NA,NA,NA,36,5655,11550,8602.5,NA,NA,NA,NA,NA,NA,0,NA,NA,8,1,1,1,1,NA
"Appalachian State University","Boone","North Carolina","Business",1,0,0,"Applied Data Analytics",1,0,2016,12,12,12,24,36,11500,24932,18216,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,5,8,2,0,3
"Bowling Green State University","Bowling Green","Ohio","Graduate College",0,0,0,"Analytics",1,0,2014,12,12,12,12,33,15642,26946,21294,NA,NA,NA,NA,NA,NA,45,NA,77499,5,3,7,1,2,2.75
"University of Tulsa","Tulsa","Oklahoma","Collins College of Business",1,0,0,"Master of Science in Business Analytics",1,0,NA,16,16,NA,NA,30,39300,39300,39300,NA,NA,NA,NA,NA,NA,55,NA,NA,9,4,6,2,0,1.875
"Temple University","Philadelphia","Pennsylvania","Fox School of Business",1,0,0,"Master of Science in Business Analytics",1,0,2014,12,12,36,60,30,33420,33420,33420,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,5,2,1,2.5
"University of Miami","Miami","Florida","Business",1,0,0,"Business Analytics",1,0,2014,10,NA,10,NA,31,60760,60760,60760,23,3.5,12,0.54,NA,NA,NA,NA,NA,8,6,4,1,0,3.1
"University of Illinois at Chicago","Chicago","Illinois","Liautaud Graduate School of Business",1,0,0,"Business Analytics",1,0,2016,12,12,18,24,32,5740,11860,8800,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,2,0,2.66666666666667
"DePaul University","Chicago","Illinois","Computing",0,0,0,"Data Science",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,1,2,2,NA
"University of Iowa","Iowa","Iowa","Business",1,0,0,"Business Analytics",1,0,2015,16,16,NA,NA,45,30813.75,49713.75,40263.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,6,2,0,2.8125
"University of Kansas Edwards Campus","Kansas","Kansas","Medical Center",0,0,0,"Applied Statistics and Analytics",1,0,2015,12,12,12,12,30,20010,20010,20010,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,3,0,2.5
"University of Massachusets, Boston","Boston","Massachusetts","Business",1,0,0,"Business Analytics",1,0,2015,10,NA,10,NA,31,60760,60760,60760,23,NA,NA,NA,NA,NA,NA,NA,NA,10,6,4,1,0,3.1
"University of Michigan at Dearborn","Dearborn","Michigan","Business",1,0,0,"Business Analytics",1,0,2012,12,12,12,NA,30,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,2,6,2,0,2.5
"University of Minnesota","Mnneapolis","Minnesota","Science and Engineering",0,1,0,"Data Science",0,1,2015,16,16,NA,24,31,33456,51768,42612,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,4,0,1.9375
"Seton Hall University","South Orange","New Jersey","Business",1,0,0,"Business Analytics",1,NA,2019,NA,18,NA,24,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,3,1,0,NA
