Rank,PredRank,University,City,State,School,BusinessSchool,EngSchool,ScienceSchool,Degree,Analytics,DataScience,YearBegan,DurationMonths,MinDuration,AvgDuration,MaxDuration,CreditHrs,InstateCost,OutofstateCost,AvgCost,StudentAge,StudentGPA,StudentWorkExpMonths,Pctwomen,PctInternational,AvgTOEFL,AppFeeCost.,PlacementRate,AvgStartingSalary,NumDSCources,NumBenefits,NumAppFeatures,NumProgramTypes,NumPostGradStatListed,Rigour
133,17.15064867,Dakota State University,Madison,South Dakota,Graduate Office,0,0,0,Analytics,1,0,2014,18,18,NA,60,39,14430,24024,19227,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,3,3,0,2.166666667
134,17.26818523,Valparaiso University,Valparasio,Indiana,Graduate School,0,0,0,Analytics and Modeling,1,0,2015,12,12,12,12,36,22680,22680,22680,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,6,1,0,3
135,17.29092203,Washington University in St. Louis,St. Louis,Missouri,Business,1,0,0,Business Analytics,1,0,2013,18,18,18,18,39,87685,87685,87685,23,3.5,NA,0.58,0.98,NA,NA,0.97,80000,9,5,4,2,0,2.166666667
136,18.48168468,Bentley University,Waltham,Massachusetts,Business,1,0,0,Business Analytics,1,0,2014,24,24,24,24,30,67250,67250,67250,23,NA,10,0.57,NA,105,90,0.95,83404,6,4,4,3,1,1.25
137,18.87837532,American University,Washington,District of Columbia,Business,1,0,0,Analytics,1,0,2015,24,12,24,24,33,59796,59796,59796,NA,NA,NA,0.5,0.25,NA,100,0.94,60000,8,3,6,3,0,1.375
138,18.91205073,Michigan Technological University,Houghton,Michigan,Graduate School,0,0,0,Data Science,0,1,2015,NA,NA,NA,NA,30,45452,45452,45452,25,NA,NA,NA,NA,80,NA,NA,NA,8,0,6,1,0,NA
139,19.00028993,Stockton University,Galloway,New Jersy,Business,1,0,0,Data Science and Strategic Analytics,1,1,2017,12,12,NA,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,5,5,2,0,2.5
140,19.17197538,Saint Peters University,Jersey City,New Jersey,Data Science,0,0,0,Data Science,0,1,2014,18,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,4,2,0,2
141,19.24221192,Southern Methodist University,Dallas,Texas,Business,1,0,0,Business Analytics,1,0,2014,9,9,9,17,33,77360,77360,77360,NA,NA,NA,NA,NA,NA,NA,0.95,NA,8,NA,3,2,0,3.666666667
142,19.2476853,"University of Southern California, Marshall",Los Angeles,California,Business,1,0,0,Business Analytics,1,0,2014,18,12,18,18,33,60951,70000,70000,NA,3.67,18,0.54,0.74,NA,NA,NA,NA,6,2,5,2,2,1.833333333
143,19.30626494,Stevens Institute of Technology,Hoboken,New Jersey,Business,1,0,0,Business Intelligence and Analytics,1,0,2012,15,15,15,NA,36,37414,37414,37414,NA,NA,NA,NA,NA,NA,NA,0.92,87500,8,4,6,3,0,2.4
144,19.42149383,Northeastern University,Boston,Massachusetts,Professional Studies,0,0,0,Analytics,1,0,2016,24,24,24,24,30,40600,40600,40600,NA,NA,NA,NA,NA,NA,75,NA,NA,7,3,5,3,0,1.25
145,19.46522529,West Virginia University,Morgantown,West Virginia,College of Business and Economics,1,0,0,Business Data Analytics,1,0,2016,12,12,12,12,30,8937,8937,8937,23,3,12,0.45,NA,580,NA,NA,NA,11,4,4,2,0,2.5
146,19.54572545,Rensselaer Polytechnic Institute,Troy,New York,Business,1,0,0,Business Analytics,1,0,2013,24,24,24,24,36,34900,34900,34900,24,3.5,NA,0.56,0.8,NA,NA,NA,73856,5,NA,3,1,1,1.5
147,19.59829649,Binghamton University,Binghamton,New York,"Business, Engineering, Science",1,0,0,Data Analytics,1,0,2018,10,10,10,10,30,15400,31000,26466.67,NA,3,24,NA,NA,NA,NA,NA,NA,5,4,6,1,NA,3
148,19.63090439,University of Massachusetts Amherst,Amherst,Massachusetts,Business,1,0,0,Business and Analytics,1,0,NA,12,12,12,48,31,25262,47995,36629,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,0,2.583333333
149,19.75417719,Quinnipiac University,Hamden,Connecticut,Business,1,0,0,Analytics,1,0,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,6,NA,4,1,0,NA
150,20.06663198,Drew University,Madison,New Jersey,Graduate School,0,0,0,Data Analytics,1,0,2019,36,12,NA,36,30,NA,NA,NA,NA,3,NA,NA,NA,NA,35,NA,69162,5,1,2,3,NA,0.833333333
151,20.16970068,Maryville University,St. Louis,Missouri,Business,1,0,0,Business Data Analytics,1,0,2017,12,12,NA,NA,30,NA,NA,22950,NA,NA,NA,NA,NA,NA,0,NA,NA,6,2,2,3,0,2.5
152,20.22658418,Appalachian State University,Boone,North Carolina,Business,1,0,0,Applied Data Analytics,1,0,2016,12,12,12,24,36,11500,24932,18216,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,5,8,2,0,3
153,20.26229782,Temple University,Philadelphia,Pennsylvania,Fox School of Business,1,0,0,Master of Science in Business Analytics,1,0,2014,12,12,36,60,30,33420,33420,33420,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,5,2,1,2.5
154,20.4302329,Clark University,Worcester,Massachusetts,School of Management,1,0,0,Business Analytics,1,0,NA,36,NA,NA,36,NA,57475,57475,57475,NA,NA,NA,NA,NA,NA,75,NA,NA,6,3,4,1,0,NA
155,21.0445163,University of Michigan at Dearborn,Dearborn,Michigan,Business,1,0,0,Business Analytics,1,0,2012,12,12,12,NA,30,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,2,6,2,0,2.5
156,21.20930674,New Jersey City University,NA,New Jersey,Business,1,0,0,Business Analytics and Data Science,1,1,2016,16,16,NA,24,33,22737,40053,40053,23,3.6,NA,NA,NA,90,55,NA,NA,3,1,7,2,0,2.0625
157,21.44969101,Syracuse University,Syracuse,New York,Business,1,0,0,Business Analytics,1,0,2015,24,18,24,24,39,60801,60801,60801,36,NA,12,0.33,0.31,NA,NA,NA,NA,10,6,5,2,0,1.625
158,21.45681775,Pace University,Plesantville,New York,Business,1,0,0,Customer Intelligence and Analytics,1,0,2013,24,24,24,24,36,48384,NA,48384,NA,NA,NA,NA,NA,NA,70,NA,NA,3,1,7,1,0,1.5
159,21.67480357,Rowan University,Glassboro,New Jersey,Science & Mathematics,0,0,1,Data Analytics,1,0,2016,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,NA
160,21.96260026,University of Utah,Salt Lake City,Utah,Business,1,0,0,Business Analytics,1,0,2016,12,12,16,24,33,34550,59200,46875,NA,NA,NA,NA,NA,NA,55,NA,NA,4,6,5,2,1,2.75
161,22.1234181,Texas Tech University,Lubbock,Texas,Business,1,0,0,Data Science,0,1,2015,12,12,12,12,36,20000,30000,22000,27,NA,24,NA,NA,NA,NA,1,NA,6,4,6,2,1,3
162,22.16634318,Babson College,Wellesley,Massachusetts,Business,1,0,0,Business Analytics,1,0,NA,9,9,13,16,30,NA,NA,84081,NA,3.12,8,0.64,0.4,NA,100,NA,NA,6,6,5,2,NA,3.333333333
163,22.52400225,University of Dallas,Dallas,Texas,Business,1,0,0,Business Analytics,1,0,2015,12,12,NA,36,30,37500,37500,37500,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,4,0,2.5
164,22.57494365,Saint Marys College of California,Moraga,California,Economics and Business Administration,1,0,0,Business Analytics,1,0,2015,NA,12,NA,18,33,46543,46543,49188,35,NA,NA,0.43,NA,NA,50,NA,NA,8,NA,4,2,0,NA
165,22.86407747,Virginia Commonwealth University,Richmond,Virginia,School of Business,1,0,0,Decision Analytics,1,0,2014,20,20,20,20,33,43000,43000,43000,NA,NA,36,NA,NA,NA,NA,NA,NA,3,1,5,2,0,1.65
166,24.0725217,College of Saint Rose,Albany,New York,School of Business,1,0,0,Business Analytics,1,0,1920,24,24,24,24,33,32835,32835,32835,24,3.3,NA,0.7,0.73,NA,0,NA,87000,7,6,4,1,0,1.375
167,25.54743385,Suffolk University Boston,Boston,Massachusetts,Business,1,0,0,Business Analytics,1,0,NA,9,9,NA,21,31,47220,47220,47220,NA,NA,NA,NA,NA,NA,50,NA,NA,9,4,4,3,NA,3.444444444
168,25.63027252,City University of New York,New York,New York,Business,1,0,0,Business Analytics,1,0,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2,NA,NA
169,25.66525293,University of Montana,Missoula,Montana,Business,1,0,0,Business Analytics,1,0,NA,12,NA,NA,NA,32,6610,21958,14284,NA,NA,NA,0.56,NA,NA,80,NA,NA,6,4,6,3,NA,2.666666667
170,25.73198893,University of Notre Dame,South Bend,Indiana,Business,1,0,0,Data Analytics,1,0,2015,12,12,12,12,30,61405,61405,61405,30,NA,24,NA,NA,NA,NA,NA,NA,7,5,6,1,0,2.5
171,25.8995689,Emory University,Atlanta,Geogria,Business,1,0,0,Business Analytics,1,0,NA,10,NA,NA,NA,33,NA,NA,75651,27,3.55,36,0.41,0.75,NA,150,0.96,NA,1,2,6,1,2,3.3
172,26.3918771,Merrimack College,North Andover,Massachusetts,Business,1,0,0,Business Analytics,1,0,2014,12,12,NA,16,32,30464,30464,30464,26,3,NA,NA,NA,100,0,NA,NA,5,6,4,1,NA,2.666666667
173,26.70810594,University of Texas at Arlington,Arlington,Texas,Business,1,0,0,Business Analytics,1,0,2015,12,12,12,12,36,18256,37756,28006,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7,1,0,3
174,27.25001727,"University of California, Davis",Davis,California,School of Management,1,0,0,Business Analytics,1,0,2015,10,10,10,10,44,58916,58916,58916,24,3.5,24,0.66,NA,NA,125,NA,NA,5,6,NA,1,0,4.4
175,28.6579085,Unversity of St Thomas Minnesota,St Paul,Minnesota,Business,1,0,0,Business Analytics,1,0,NA,16,16,NA,50,30,NA,NA,36540,27,3.1,3,0.62,NA,90,60,NA,NA,9,5,5,3,NA,1.875
176,29.79723255,Kent State University,Kent,Ohio,Business and Administration,1,0,0,Business Analytics,1,0,2016,12,12,12,12,30,10602,19478,18000,20,2.54,3,NA,NA,NA,NA,NA,NA,4,2,7,1,0,2.5
177,30.00124755,Western Illinois University,Macomb,Illinois,College of Business & Technology,1,0,0,Applied Statistics and Decision Analytics,1,0,2016,12,12,12,18,36,11651.04,11651.04,11651.04,23,2.75,0,0.42,NA,NA,NA,NA,50000,9,5,2,1,1,3
178,30.21639173,Grand Canyon University,Phoenix,Arizona,Colangelo College of Business,1,0,0,Business Analytics,1,0,2014,18,18,24,24,38,33000,33000,33000,NA,NA,0,NA,NA,NA,NA,NA,NA,3,1,NA,3,0,2.111111111
179,30.4551017,Louisiana State University,Baton Rouge,Louisiana,Business,1,0,0,Analytics,1,0,2011,12,12,12,12,36,17000,38300,27650,NA,NA,NA,NA,NA,NA,50,NA,NA,7,2,7,3,1,3
180,31.38624318,University of Denver,Denver,Colorado,Business,1,0,0,Business Analytics,1,0,NA,12,12,12,12,58,61944,61944,61944,28,3.33,48,0.57,0.33,NA,100,NA,NA,9,4,4,3,0,4.833333333
181,32.38989004,Duquesne University,Pittsburgh,Pennsylvania,Business,1,0,0,Analytics and Information Management,1,0,2018,12,12,12,24,30,16032,16032,16032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,2.5
182,32.78923546,University of Colorado Denver,Denver,Colorado,Business,1,0,0,Analytics,1,0,2014,24,NA,24,NA,30,17130,39450,39450,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,6,2,0,1.25
183,33.49001522,University of Illinois at Chicago,Chicago,Illinois,Liautaud Graduate School of Business,1,0,0,Business Analytics,1,0,2016,12,12,18,24,32,5740,11860,8800,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,2,0,2.666666667
184,33.50891936,University of Denver,Denver,Colorado,Daniels College of Business,1,0,0,Business Information and Analytics,1,0,2014,12,12,NA,24,58,61944,61944,61944,28,3.33,48,0.57,0.33,94,100,NA,NA,8,5,3,2,2,4.833333333
185,37.75220849,Mercer University,Atlanta,Geogria,Business and Economics,1,0,0,Business Analytics,1,0,2015,15,15,15,16,39,34515,34515,28353,32,3.32,NA,NA,NA,80,50,NA,NA,3,1,3,1,0,2.6
186,39.4944467,Northeastern University,Boston,Massachusetts,Business,1,0,0,Business Analytics,1,0,2015,16,12,16,20,NA,NA,NA,NA,NA,3.24,75.6,0.59,NA,NA,NA,NA,NA,4,3,5,3,1,NA
187,40.94322109,Saint Louis University,St. Louis,Missouri,Business,1,0,0,Applied Analytics,1,0,2014,NA,NA,NA,NA,36,NA,NA,45424,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,0,NA
188,52.84058569,College of Saint Elizabeth,Morristown,New Jersey,School of Arts and Sciences,0,0,1,Data Analytics,1,0,1899,12,12,12,12,36,31620,31620,31620,24,2.6,NA,0.89,0.85,79,35,NA,68153,7,6,6,2,0,3
189,57.99731105,University of Colorado Boulder,Boulder,Colorado,Business,1,0,0,Business Analytics,1,0,2014,10,10,10,10,33,13556,33014,23285,NA,NA,NA,NA,NA,NA,70,1,NA,5,NA,6,3,0,3.3
