"University","City","State","School","Degree","BusinessSchool","EngSchool","ScienceSchool","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"Massachusetts Institute of Technology","Cambridge","Massachusetts","Management","Business Analytics",1,0,0,1,0,2016,12,12,12,12,30,82368,82368,82368,23,3.9,15,0.4,0.7,100,150,0.92,60000,7,5,8,3,2,2.5
"Merrimack College","North Andover","Massachusetts","Business","Business Analytics",1,0,0,1,0,2014,12,12,12,16,32,30464,30464,30464,26,3,0,0.45,0.72,100,0,1,73533,5,6,4,1,0,2.66666666666667
"Michigan Technological University","Houghton","Michigan","Graduate School","Data Science",0,0,0,0,1,2015,12,12,12,24,30,45452,45452,45452,25,2.89,36,0.5,0.6,80,75,1,60000,8,0,6,1,0,2.5
"New Jersey City University",NA,"New Jersey","Business","Business Analytics and Data Science",1,0,0,1,1,2016,16,16,12,24,33,22737,40053,40053,23,3.6,0,0.56,0.24,90,55,1,60000,3,1,7,2,0,2.0625
"Mercyhurst University","Erie","Pennsylvania","Intelligence Studies and Applied Sciences","Data Science",0,0,0,0,1,2015,21,21,21,21,36,37000,37000,31500,24,3.2,0,0.3,0.52,90,0,1,108000,4,1,2,1,0,1.71428571428571
"Regis University","Denver","Colorado","Computer and Information Sciences","Data Science",0,0,1,0,1,2015,12,12,12,24,36,34200,34200,34200,24,3,36,0.42,0.31,80,75,1,68153,6,2,2,3,0,3
"Quinnipiac University","Hamden","Connecticut","Business","Analytics",1,0,0,1,0,2014,12,12,12,12,30,13556,12786,35535,24,2.6,0,0.35,0.24,80,45,1,78125,6,3,4,1,0,2.5
"Embry-Riddle Aeronautical University","Daytona Beach","Florida","Arts and Sciences","Data Science",0,0,1,0,1,2015,12,12,12,24,30,25262,26550,7276.78,23,3,0,0.56,0.24,80,0,1,50000,4,1,4,4,0,2.5
"Rowan University","Glassboro","New Jersey","Science & Mathematics","Data Analytics",0,0,1,1,0,2016,12,12,12,24,30,17000,11860,15276,23,3,6,0.45,0.75,80,50,1,60000,1,1,6,1,0,2.5
"Rutgers","New Brunswick","New Jersey","Science","Business & Science",0,0,1,0,0,2012,18,18,24,48,43,43645,54008,48826.5,23,3.4,12,0.3,0.74,80,70,0.9,81753,6,3,6,4,0,2.38888888888889
"Drew University","Madison","New Jersey","Graduate School","Data Analytics",0,0,0,1,0,2019,36,12,24,36,30,4041.65,33420,19227,23,3,0,0.7,0.25,80,35,0.95,69162,5,1,2,3,0,0.833333333333333
"Rensselaer Polytechnic Institute","Troy","New York","Business","Business Analytics",1,0,0,1,0,2013,24,24,24,24,36,34900,34900,34900,24,3.5,0,0.56,0.8,90,0,1,73856,5,6,3,1,1,1.5
"Penn State Great Valley","Devault","Pennsylvania","Graduate Professional Studies","Data Analytics",0,0,0,1,0,2015,36,36,36,36,30,27900,27900,27900,23,3.2,0,0.45,0.25,80,65,1,62879,7,2,6,1,0,0.833333333333333
"Saint Joseph’s University","Philadelphia","Pennsylvania","Business","Business Intelligence and Analytics",1,0,0,1,0,2010,12,12,12,24,30,33210,18296,33210,23,3,12,0.37,0.25,80,50,0.96,87500,8,2,6,3,0,2.5
"Duquesne University","Pittsburgh","Pennsylvania","Business","Analytics and Information Management",1,0,0,1,0,2015,36,12,24,36,30,29730,29730,29730,23,3,0,0.3,0.33,80,50,1,120931,3,1,4,4,0,0.833333333333333
"Benedictine University","Lisle","Illinois","Business","Business Analytics",1,0,0,1,0,2013,24,12,24,24,64,27720,73800,22110,24,3.5,12,0.42,0.52,99,75,1,81911,4,2,1,2,0,2.66666666666667
"Louisiana State University","Baton Rouge","Louisiana","Business","Analytics",1,0,0,1,0,2011,12,12,12,12,36,17000,38300,27650,25,2.54,0,0.43,0.42,80,50,1,80265,7,2,7,3,1,3
"University of Massachusetts at Lowell","Lowell","Massachusetts","Manning School of Business","Business Analytics",1,0,0,1,0,2016,12,12,16,24,30,25266,44900,35083,24,3,0,0.43,0.1,90,75,1,60000,8,3,507,2,0,2.5
"Boston University","Boston","Massachusetts","Metropolitan College","Applied Business Analytics",0,0,0,1,0,2016,18,18,22,24,40,24300,24024,19008,23,3.6,12,0.4,0.85,80,85,1,60000,2,2,6,4,0,2.22222222222222
"Bellevue University","Bellevue","Nebraska","Business","Business Analytics",1,0,0,1,0,2015,24,24,24,24,36,21060,21060,21060,23,3,0,0.4,0.24,90,60,1,73856,9,1,6,2,0,1.5
"University at Albany","Albany","New York","Mathematics & Statistics","Data Science",0,0,1,0,1,2018,12,12,12,24,36,5655,11550,8602.5,23,3,0,0.42,0.52,90,0,1,110000,8,1,1,1,1,3
"Appalachian State University","Boone","North Carolina","Business","Applied Data Analytics",1,0,0,1,0,2016,12,12,12,24,36,11500,24932,18216,23,3,3,0.45,0.7,90,65,1,77499,5,5,8,2,0,3
"Bowling Green State University","Bowling Green","Ohio","Graduate College","Analytics",0,0,0,1,0,2014,12,12,12,12,33,15642,26946,21294,24,2.6,0,0.4,0.52,90,45,1,77499,5,3,7,1,2,2.75
"University of Tulsa","Tulsa","Oklahoma","Collins College of Business","Master of Science in Business Analytics",1,0,0,1,0,2015,16,16,15,24,30,39300,39300,39300,23,3.5,0,0.35,0.42,80,55,1,85200,9,4,6,2,0,1.875
"Temple University","Philadelphia","Pennsylvania","Fox School of Business","Master of Science in Business Analytics",1,0,0,1,0,2014,12,12,36,60,30,33420,33420,33420,23,3,0,0.56,0.72,80,75,0.769,50000,10,4,5,2,1,2.5
"University of Miami","Miami","Florida","Business","Business Analytics",1,0,0,1,0,2014,10,10,10,10,31,60760,60760,60760,23,3.5,12,0.54,0.24,100,75,1,84305,8,6,4,1,0,3.1
"University of Illinois at Chicago","Chicago","Illinois","Liautaud Graduate School of Business","Business Analytics",1,0,0,1,0,2016,12,12,18,24,32,5740,11860,8800,23,3,12,0.35,0.84,80,0,1,50000,1,1,5,2,0,2.66666666666667
"DePaul University","Chicago","Illinois","Computing","Data Science",0,0,0,1,0,2016,24,12,12,24,30,20215,11651.04,22110,23,3.2,0,0.57,0.1,80,0,1,60000,9,3,1,2,2,2.5
"University of Iowa","Iowa","Iowa","Business","Business Analytics",1,0,0,1,0,2015,16,16,12,24,45,30813.75,49713.75,40263.75,24,3,0,0.25,0.19,80,75,0.91,77499,10,3,6,2,0,2.8125
"University of Kansas Edwards Campus","Kansas","Kansas","Medical Center","Applied Statistics and Analytics",0,0,0,1,0,2015,12,12,12,12,30,20010,20010,20010,23,3,0,0.45,0.33,90,60,1,105000,5,2,6,3,0,2.5
"University of Massachusets, Boston","Boston","Massachusetts","Business","Business Analytics",1,0,0,1,0,2015,10,10,10,10,31,60760,60760,60760,23,3.5,24,0.22,0.25,80,75,1,84305,10,6,4,1,0,3.1
"University of Michigan at Dearborn","Dearborn","Michigan","Business","Business Analytics",1,0,0,1,0,2012,12,12,12,24,30,17000,24024,7276.78,27,3.32,29,0.35,0.74,79,75,1,81911,5,2,6,2,0,2.5
"University of Minnesota","Mnneapolis","Minnesota","Science and Engineering","Data Science",0,1,0,0,1,2015,16,16,24,24,31,33456,51768,42612,23,3,1,0.48,0.1,80,0,1,60000,7,5,7,4,0,1.9375
"Seton Hall University","South Orange","New Jersey","Business","Business Analytics",1,0,0,1,0,2019,18,18,24,24,30,21060,27900,21060,23,3,12,0.35,0.72,80,75,1,80000,8,3,3,1,0,2.5
